Name,NSamples,minBookDepth,p25BookDepth,p50BookDepth,p75BookDepth,p90BookDepth,p99BookDepth,p999BookDepth,p9999BookDepth,maxBookDepth
A,322682,0,0,1,4,7,16,285,782,2786
AA,494967,0,0,0,3,6,12,189,668,19998416
AA-,62,0,0,798,855,4501739,18441632,19835621,19975020,19990509
AA-B,480,0,0,0,250,986,1446,2076,2076,2076
AAC,5536,0,0,8,17,27,721,6162677,18613981,19997460
AADR,242,0,0,146,718,925,1098,2756,2756,2756
AAIT,3270,0,3,13,40,142,967,15910768,19587961,19996539
AAL,853378,0,0,3,9,15,99,1628,3748362,19995288
AAMC,2060,0,736,784,989,3683,14184095,19399976,19921564,19979519
AAME,343,0,12,31,100,111,12379435,19237583,19923398,19999600
AAN,83018,0,0,0,4,8,92,675,13081519,19996876
AAOI,9826,0,0,0,3,17,583,7720139,18771007,19998882
AAON,27476,0,0,1,13,25,230,1013,16945960,19997741
AAP,96353,0,0,8,20,39,177,4152,17194420,19984382
AAPL,2816691,0,0,1,3,10,1346,3893,16717659,19988235
AAT,24566,0,0,0,9,21,840,1505,1729,2129
AAU,4595,0,0,1,3,4,1593,2097,2518,2518
AAV,28806,0,0,0,1,2,42,145,7943114,9999568
AAVL,16300,0,0,1,20,61,1120,3158,16737665,19996237
AAWW,43444,0,0,3,10,36,877,1454,15653078,19995391
AAXJ,109775,0,0,2,7,15,112,1245,9022415,19993729
AB,33864,0,0,3,9,14,174,724,944,944
ABAC,654,0,0,7,40,48,10659393,19065796,19906436,19999841
ABAX,37794,0,0,4,11,20,1065,1964,16216587,19993887
ABB,226042,0,0,1,3,6,11,140,564,899
ABBV,695736,0,0,1,4,8,25,452,1269,19994105
ABC,283937,0,1,5,12,23,64,809,2042,19990521
ABCB,15517,0,0,1,12,24,675,608504,18058046,19996884
ABCD,2122,0,0,4,18,68,174,12928233,19292542,19999688
ABCO,39161,0,0,3,13,28,1299,5761831,18571918,19995261
ABCW,4584,0,18,65,65,83,998,8541436,18851132,19996654
ABDC,1420,0,0,5,27,223,4225892,18421420,19840972,19998701
ABEV,81087,0,0,0,1,4,10,180,199,19999348
ABG,47976,0,0,2,7,18,427,2353,4010445,19992251
ABGB,16158,0,0,1,5,9,415,1617,17691006,19998548
ABIO,4934,0,1,11,60,904,2980,12954938,19297922,20002699
ABM,23922,0,0,3,8,14,312,1062,8040800,19997041
ABMD,75712,0,0,2,6,21,151,7486805,18744008,19994809
ABR,3665,0,0,0,1,7,197,246,499,499
ABR-A,114,0,0,76,403,656,970,1134,1134,1134
ABR-B,48,0,0,0,318,632,946,946,946,946
ABR-C,84,0,0,0,296,584,928,928,928,928
ABRN,119,0,0,228,547,702,911,911,911,911
ABT,406198,0,0,1,3,6,15,358,960,19995518
ABTL,8661,0,0,0,4,39,368,12127727,19211875,19999003
ABX,549165,0,0,0,1,6,12,220,649,19998731
ABY,42802,0,0,8,39,79,238,988,9300623,19996662
ACAD,135633,0,0,1,4,8,176,1113,13217986,19996885
ACAS,109413,0,0,0,3,8,59,459,9060798,19998593
ACAT,43812,0,0,2,8,27,635,1810,13740400,19996642
ACC,134881,0,1,4,10,18,46,874,1080,19995583
ACCO,32799,0,0,0,1,5,59,238,327,327
ACE,251201,0,1,5,9,14,37,854,2237,19989180
ACET,23819,0,0,1,12,21,520,840,16596474,19997997
ACFC,1676,0,0,0,0,33,148,16276166,19627262,19999607
ACFN,1619,0,0,0,795,3343,5286326,18531457,19855970,20003139
ACG,4077,0,0,0,1,6,211,249,249,249
ACGL,70556,0,0,3,8,20,209,1250,11179410,19994107
ACH,8039,0,0,1,3,8,289,6604648,18659463,19998887
ACHC,70691,0,0,4,23,41,382,1706,12143926,19994267
ACHN,185345,0,0,1,6,10,161,835,8418227,19998560
ACI,23622,0,0,0,14,119,1117,2961,16851612,20000504
ACIM,1800,0,0,5,36,406,1935,5043,5393,5432
ACIW,56142,0,0,0,2,7,182,555,12982803,19998150
ACLS,8356,0,0,0,3,18,79,12405381,19240314,19999751
ACM,175506,0,0,2,4,8,24,509,674,19997401
ACMP,247085,0,0,1,4,15,53,1357,1471,4388
ACN,337494,0,0,3,6,10,28,736,1805,19991540
ACNB,379,0,65,200,574,8854827,18883651,19886533,19986821,19997965
ACOR,57590,0,0,2,6,24,1117,1408,15390802,19995908
ACP,637,0,0,0,7,366,516,15752843,19573511,19998030
ACPW,2332,0,0,0,6,50,707,12228491,19222674,19999806
ACRE,7930,0,0,0,2,9,342,179945,18016887,19998770
ACRX,15648,0,0,0,3,20,211,4355767,18434979,19999336
ACSF,4033,0,0,0,7,12,341,11935277,19192412,19998761
ACST,32385,0,64,114,166,216,600,14170147,19421873,20005399
ACT,316129,0,3,11,23,59,169,2207,10790,11828
ACTA,12178,0,0,0,10,38,460,8931127,18891639,19998363
ACTG,66041,0,0,1,4,9,126,850,12663148,19998741
ACTS,857,0,0,1,45,55,7760127,18775836,19877407,19999804
ACU,510,0,33,118,414,539,10728565,19071135,19905392,19998088
ACUR,1619,0,300,880,1400,4133,11010444,19105363,19914855,20004799
ACW,2795,0,0,0,3,33,179,14411074,19440704,19999552
